year,id1,name,mbgames,PA,ab,average,obp,slug,ops,hits,1B,doubles,triples,homeruns,rbi,runs,BB,so,K%,HBP,SF,TB,war
2026,20,BB Pfaff,4,35,35,0.400,0.400,0.857,1.257,14,8,1,0,5,16,12,0,0,0.00%,0,0,30,0.1
2026,27,Capn Bartz,3,19,19,0.316,0.316,0.526,0.842,6,4,1,0,1,1,5,0,2,10.50%,0,0,10,-0.2
2026,35,Charles Eckert,6,52,52,0.615,0.615,1.346,1.962,32,15,6,1,10,20,22,0,3,5.80%,0,0,70,1.6
2026,66,Chip Vorwerk,3,20,19,0.421,0.350,1.105,1.455,8,3,1,0,4,12,5,0,2,10.00%,0,1,21,0.2
2026,14,Ethan Schickert,3,20,20,0.350,0.350,0.850,1.200,7,3,1,0,3,4,5,0,3,15.00%,0,0,17,0
2026,13,Garry Bob,4,39,39,0.436,0.436,0.872,1.308,17,9,3,1,4,13,16,0,1,2.60%,0,0,34,0.2
2026,10,Hoag Braun,6,54,54,0.519,0.519,1.185,1.704,28,11,7,1,9,14,24,0,9,16.70%,0,0,64,1.1
2026,45,Kaleb Baker,9,73,73,0.507,0.507,1.548,2.055,37,7,6,2,22,42,32,0,4,5.50%,0,0,113,2.3
2026,50,Nick R,2,11,11,0.364,0.364,0.545,0.909,4,2,2,0,0,3,1,0,0,0.00%,0,0,6,-0.1
2026,30,Noot Pengu,5,46,46,0.391,0.391,0.391,0.783,18,18,0,0,0,1,12,0,3,6.50%,0,0,18,-0.6
2026,28,P Brain,8,65,65,0.431,0.431,0.738,1.169,28,15,5,1,5,23,17,0,2,3.10%,0,0,48,0
2026,12,Pesky Zub,6,53,53,0.528,0.528,1.208,1.736,28,12,6,0,10,27,20,0,0,0.00%,0,0,64,1.1
2026,1,Sven Goose,9,72,72,0.444,0.444,0.764,1.208,32,19,8,0,5,16,23,0,5,6.90%,0,0,55,0.2
2026,51,The Hound,6,77,77,0.442,0.442,0.753,1.195,34,20,9,0,5,13,24,0,11,14.30%,0,0,58,0.1
